Year,1575,1625,1675,1725,1775,1825,1875,1925,1975,2025,2075,2125,2175,2225
1987,0.000000,0.057921,0.132493,0.133733,0.124136,0.445594,0.327529,0.334372,0.253843,0.324920,0.280477,0.096503,0.013156,0.000419
1988,0.000000,0.057680,0.124023,0.130367,0.123443,0.446560,0.318350,0.331651,0.248948,0.323374,0.271201,0.090594,0.012592,0.000354
1989,0.000000,0.057438,0.115553,0.127002,0.122751,0.447526,0.309172,0.328930,0.244052,0.321828,0.261926,0.084684,0.012029,0.000290
1990,0.000000,0.057197,0.107083,0.123636,0.122058,0.448492,0.299993,0.326208,0.239157,0.320282,0.252651,0.078774,0.011465,0.000225
1991,0.000000,0.056955,0.098613,0.120271,0.121366,0.449458,0.290815,0.323487,0.234262,0.318737,0.243376,0.072865,0.010902,0.000161
1992,0.000000,0.056714,0.090143,0.116906,0.120674,0.450424,0.281636,0.320766,0.229367,0.317191,0.234101,0.066955,0.010338,0.000097
1993,0.000000,0.054051,0.084550,0.111227,0.121178,0.450918,0.278813,0.319821,0.228937,0.317309,0.233532,0.068469,0.010231,0.000097
1994,0.000000,0.051389,0.078957,0.105548,0.121683,0.451412,0.275989,0.318876,0.228508,0.317427,0.232963,0.069982,0.010123,0.000097
1995,0.000000,0.048727,0.073364,0.099869,0.122187,0.451906,0.273166,0.317931,0.228078,0.317545,0.232394,0.071496,0.010016,0.000097
1996,0.000000,0.046064,0.067771,0.094190,0.122692,0.452400,0.270343,0.316987,0.227649,0.317663,0.231825,0.073010,0.009909,0.000097
1997,0.000000,0.043402,0.062178,0.088511,0.123196,0.452893,0.267519,0.316042,0.227220,0.317781,0.231256,0.074523,0.009801,0.000097
1998,0.000000,0.040740,0.056585,0.082832,0.123701,0.453387,0.264696,0.315097,0.226790,0.317899,0.230687,0.076037,0.009694,0.000097
1999,0.000000,0.038077,0.050992,0.077153,0.124205,0.453881,0.261873,0.314153,0.226361,0.318017,0.230118,0.077551,0.009586,0.000097
2000,0.000000,0.035415,0.045399,0.071474,0.124710,0.454375,0.259049,0.313208,0.225931,0.318135,0.229549,0.079064,0.009479,0.000097
2001,0.000000,0.032753,0.039806,0.065796,0.125214,0.454869,0.256226,0.312263,0.225502,0.318254,0.228980,0.080578,0.009372,0.000097
2002,0.000000,0.027439,0.040192,0.066762,0.132332,0.449040,0.254970,0.313068,0.226114,0.321410,0.223570,0.079322,0.007311,0.000064
2003,0.000000,0.022125,0.040579,0.067728,0.139449,0.443210,0.253714,0.313874,0.226726,0.324566,0.218159,0.078066,0.005249,0.000032
2004,0.000000,0.016811,0.040965,0.068694,0.146567,0.437381,0.252458,0.314679,0.227338,0.327722,0.212749,0.076810,0.003188,0.000000
2005,0.000000,0.014975,0.037101,0.062583,0.157557,0.424700,0.250501,0.312191,0.228473,0.324775,0.212483,0.075143,0.005169,0.000024
2006,0.000000,0.013140,0.033236,0.056472,0.168547,0.412019,0.248545,0.309703,0.229608,0.321828,0.212217,0.073477,0.007150,0.000048
2007,0.000000,0.011304,0.029371,0.050361,0.179537,0.399339,0.246588,0.307215,0.230743,0.318882,0.211952,0.071810,0.009130,0.000072
2008,0.000000,0.009468,0.025507,0.044250,0.190527,0.386658,0.244632,0.304727,0.231879,0.315935,0.211686,0.070143,0.011111,0.000097
2009,0.000000,0.008764,0.024734,0.042994,0.200327,0.374843,0.241872,0.301594,0.230057,0.312664,0.201748,0.064622,0.010214,0.000138
2010,0.000000,0.008061,0.023961,0.041738,0.210126,0.363028,0.239111,0.298461,0.228235,0.309392,0.191811,0.059101,0.009317,0.000179
2011,0.000000,0.007357,0.023188,0.040482,0.219926,0.351213,0.236351,0.295328,0.226413,0.306121,0.181873,0.053581,0.008419,0.000221
2012,0.000000,0.006653,0.022415,0.039226,0.229726,0.339399,0.233590,0.292195,0.224591,0.302850,0.171935,0.048060,0.007522,0.000262
2013,0.000000,0.005949,0.021642,0.037970,0.239525,0.327584,0.230830,0.289062,0.222769,0.299579,0.161998,0.042539,0.006625,0.000304
2014,0.000000,0.005245,0.020869,0.036714,0.249325,0.315769,0.228069,0.285929,0.220947,0.296308,0.152060,0.037018,0.005728,0.000345
2015,0.000000,0.004541,0.020096,0.035458,0.259124,0.303954,0.225309,0.282795,0.219125,0.293037,0.142122,0.031497,0.004831,0.000386
2016,0.000000,0.004380,0.019806,0.037696,0.265759,0.294083,0.225953,0.278899,0.218497,0.291732,0.142316,0.033494,0.005555,0.000322
2017,0.000000,0.004219,0.019516,0.039935,0.272393,0.284212,0.226597,0.275002,0.217869,0.290428,0.142509,0.035490,0.006280,0.000258
2018,0.000000,0.004058,0.019227,0.042173,0.279027,0.274341,0.227241,0.271105,0.217241,0.289124,0.142702,0.037487,0.007005,0.000193
2019,0.000000,0.003897,0.018937,0.044411,0.285662,0.264471,0.227885,0.267208,0.216613,0.287819,0.142895,0.039484,0.007729,0.000129
2020,0.000000,0.003736,0.018647,0.046649,0.292296,0.254600,0.228529,0.263311,0.215985,0.286515,0.143088,0.041481,0.008454,0.000064
2021,0.000000,0.003575,0.018357,0.048888,0.298930,0.244729,0.229173,0.259414,0.215357,0.285211,0.143282,0.043477,0.009179,0.000000
2022,0.000000,0.003414,0.018067,0.051126,0.305565,0.234858,0.229818,0.255517,0.214729,0.283906,0.143475,0.045474,0.009903,0.000000
2023,0.000000,0.003253,0.017777,0.053364,0.312199,0.224987,0.230462,0.251621,0.214101,0.282602,0.143668,0.047471,0.010628,0.000000
2024,0.000000,0.003092,0.017488,0.055603,0.318833,0.215116,0.231106,0.247724,0.213473,0.281298,0.143861,0.049467,0.011352,0.000000
