Z,X,Y,RASTERVALU
2100.000000000000000,-121.041271100000003,48.349547700000002,2092.2788086
2036.982666000000108,-121.043529800000002,48.349730737000073,2064.0690918
2006.317870999999968,-121.044855699999999,48.349458761000051,2060.1274414
1969.976562999999942,-121.046203800000001,48.349342352000065,2055.7529297
1937.554321000000073,-121.047497300000003,48.348956404000035,2045.2542725
1895.921630999999934,-121.048816700000003,48.348784102000081,2040.2490234
1871.548950000000104,-121.050168299999996,48.348856186000035,nan
1855.361327999999958,-121.051518099999996,48.348950697000078,2013.1933594
1852.258057000000008,-121.052864700000001,48.349087307000048,2007.2429199
1851.216308999999910,-121.054130900000004,48.349445821000074,1989.6247559
1840.385254000000032,-121.055230199999997,48.350227259000064,1978.5161133
1807.911986999999954,-121.056058800000002,48.351297499000054,1957.4656982
1759.092284999999947,-121.056741700000003,48.352465400000028,1935.1024170
1748.973754999999983,-121.057704200000003,48.353404970000042,nan
1748.750976999999921,-121.058724900000001,48.354293660000053,1911.2043457
1736.660888999999997,-121.059532399999995,48.355278410000039,1889.9224854
1717.088013000000046,-121.059594799999999,48.356630465000080,1871.9068604
1687.515990999999985,-121.059767699999995,48.357964763000041,1869.3394775
1686.864013999999997,-121.060131900000002,48.359268329000031,1849.1535645
1677.339478000000099,-121.060378999999998,48.360588821000078,1831.9945068
1664.187134000000015,-121.060398599999999,48.361942174000035,1818.4069824
1660.336792000000059,-121.060508799999994,48.363285687000030,nan
1652.606201000000056,-121.060780199999996,48.364611679000063,1751.7473145
1648.887694999999894,-121.061051699999993,48.365937671000040,1722.6723633
1643.915770999999950,-121.061323200000004,48.367263663000074,1714.1455078
1629.000000000000000,-121.061540100000002,48.367870199999999,1710.8079834
1615.000000000000000,-121.065179999999998,48.371119999999998,1594.0780029
1613.000000000000000,-121.067316599999998,48.373204999999999,1602.2113037
