Z,X,Y,RASTERVALU
2100.000000000000000,-121.041271100000003,48.349547700000002,2085.4560547
2036.982666000000108,-121.043529800000002,48.349730737000073,2054.2656250
2006.317870999999968,-121.044855699999999,48.349458761000051,2044.9072266
1969.976562999999942,-121.046203800000001,48.349342352000065,2038.6347656
1937.554321000000073,-121.047497300000003,48.348956404000035,2027.8515625
1895.921630999999934,-121.048816700000003,48.348784102000081,2017.4619141
1871.548950000000104,-121.050168299999996,48.348856186000035,2008.6142578
1855.361327999999958,-121.051518099999996,48.348950697000078,2000.1806641
1852.258057000000008,-121.052864700000001,48.349087307000048,1991.3789062
1851.216308999999910,-121.054130900000004,48.349445821000074,1977.1513672
1840.385254000000032,-121.055230199999997,48.350227259000064,1951.1972656
1807.911986999999954,-121.056058800000002,48.351297499000054,1927.4189453
1759.092284999999947,-121.056741700000003,48.352465400000028,1912.0117188
1748.973754999999983,-121.057704200000003,48.353404970000042,1898.2138672
1748.750976999999921,-121.058724900000001,48.354293660000053,1880.8730469
1736.660888999999997,-121.059532399999995,48.355278410000039,1858.9052734
1717.088013000000046,-121.059594799999999,48.356630465000080,1830.8154297
1687.515990999999985,-121.059767699999995,48.357964763000041,1812.6210938
1686.864013999999997,-121.060131900000002,48.359268329000031,1800.3857422
1677.339478000000099,-121.060378999999998,48.360588821000078,1785.7646484
1664.187134000000015,-121.060398599999999,48.361942174000035,1741.6708984
1660.336792000000059,-121.060508799999994,48.363285687000030,1670.0156250
1652.606201000000056,-121.060780199999996,48.364611679000063,1631.7187500
1648.887694999999894,-121.061051699999993,48.365937671000040,1617.5546875
1643.915770999999950,-121.061323200000004,48.367263663000074,1615.6474609
1629.000000000000000,-121.061540100000002,48.367870199999999,1616.2802734
1615.000000000000000,-121.065179999999998,48.371119999999998,1615.0000000
1613.000000000000000,-121.067316599999998,48.373204999999999,1613.0000000
