month,lapse_rate
2010-07,-0.00486276667277951
2010-08,-0.005747650006211438
2010-09,-0.005466409927257167
2010-10,-0.004236200256739409
2010-11,-0.004443731279418057
2010-12,-0.004153381092384778
2011-01,-0.0031077891424075533
2011-02,-0.004706125068769484
2011-03,-0.0055385316162159925
2011-04,-0.006116816431322209
2011-05,-0.005942275042444821
2011-06,-0.006397090286692341
2011-07,-0.005555095449086918
2011-08,-0.005101660524245311
2011-09,-0.00391099700470689
2011-10,-0.00516584537662015
2011-11,-0.004645655349475455
2011-12,-0.002486645409747816
2012-01,-0.003465982028241335
2012-02,-0.00481165065734142
2012-03,-0.005109942440680773
2012-04,-0.005648267008985879
2012-05,-0.006422626195701686
2012-06,-0.006050492083868207
2012-07,-0.004387345231686612
2012-08,-0.0049877841732576915
2012-09,-0.0036884895164741123
2012-10,-0.004617168412770715
2012-11,-0.004608472400513478
2012-12,-0.009580106836722018
2013-01,-0.005055791448602746
2013-02,-0.006432239134421419
2013-03,-0.008262565419176459
2013-04,-0.009649122807017544
2013-05,-0.009101412066752248
2013-10,-0.006953359007274283
2013-11,-0.006848523748395379
2013-12,-0.0077083937223073416
2014-01,-0.005039546150979337
2014-02,-0.008500927114534304
2014-07,-0.004435631762332661
2014-08,-0.005240382624539319
2014-09,-0.004629867351305092
2014-10,-0.004836639198310489
2014-11,-0.004045785194694052
2014-12,-0.003505321131309785
2015-01,-0.001977307548966831
2015-02,-0.004972033742893819
2015-03,-0.005575800240175576
2015-04,-0.007002567394094993
2015-05,-0.007194914903308625
2015-06,-0.006859221223791185
2015-07,-0.007126589092716054
2015-08,-0.0069393700009874595
2015-09,-0.0062066752246469825
2015-10,-0.004711168164313222
2016-07,-0.005712451861360718
2016-08,-0.005070603337612324
2016-09,-0.005624732563115105
2016-10,-0.00525169631395562
2016-11,-0.0037781538102462362
2016-12,-0.003460147041661804
2017-01,-0.0018551492815437492
2017-02,-0.003942783788740143
2017-03,-0.005226128172212897
2017-04,-0.006153373890718313
2017-05,-0.00538046124562879
2017-06,-0.0058130081300813005
2017-07,-0.004985713694148826
2017-08,-0.004356288045053625
2017-09,-0.005154043645699615
2017-10,-0.003773152393178067
2017-11,-0.00471264935321418
2017-12,-0.0007809157038938809
2018-01,-0.002932583772298703
2018-02,-0.0047761081325983544
2018-03,-0.0049345314505776635
2018-04,-0.006192442931294301
2018-05,-0.005648267008985879
