geometry,elevation
POINT (644188.1863490704 5357029.820711046),1091.5098
POINT (644188.1863490704 5357129.820711046),1060.102
POINT (644188.1863490704 5357229.820711046),1019.373
POINT (644188.1863490704 5357329.820711046),979.2491
POINT (644188.1863490704 5357429.820711046),968.4707
POINT (644188.1863490704 5357529.820711046),946.60223
POINT (644188.1863490704 5357629.820711046),940.5213
POINT (644188.1863490704 5357729.820711046),-32767.0
POINT (644188.1863490704 5357829.820711046),925.85004
POINT (644188.1863490704 5357929.820711046),927.2161
POINT (644188.1863490704 5358029.820711046),957.5648
POINT (644188.1863490704 5358129.820711046),966.20715
POINT (644188.1863490704 5358229.820711046),1003.5287
POINT (644188.1863490704 5358329.820711046),968.2266
POINT (644188.1863490704 5358429.820711046),947.0314
POINT (644188.1863490704 5358529.820711046),972.9728
POINT (644188.1863490704 5358629.820711046),1011.0588
POINT (644288.1863490704 5356529.820711046),1367.1613
POINT (644288.1863490704 5356629.820711046),1326.542
POINT (644288.1863490704 5356729.820711046),1273.5814
POINT (644288.1863490704 5356829.820711046),1225.6544
POINT (644288.1863490704 5356929.820711046),1190.0364
POINT (644288.1863490704 5357029.820711046),1139.3967
POINT (644288.1863490704 5357129.820711046),1098.482
POINT (644288.1863490704 5357229.820711046),1052.8134
POINT (644288.1863490704 5357329.820711046),1014.6994
POINT (644288.1863490704 5357429.820711046),996.5703
POINT (644288.1863490704 5357529.820711046),987.91376
POINT (644288.1863490704 5357629.820711046),1008.0325
POINT (644288.1863490704 5357729.820711046),997.2415
POINT (644288.1863490704 5357829.820711046),983.82935
POINT (644288.1863490704 5357929.820711046),-32767.0
POINT (644288.1863490704 5358029.820711046),-32767.0
POINT (644288.1863490704 5358129.820711046),1063.023
POINT (644288.1863490704 5358229.820711046),1020.13055
POINT (644388.1863490704 5356529.820711046),1474.5829
POINT (644388.1863490704 5356629.820711046),1374.815
POINT (644388.1863490704 5356729.820711046),1324.2463
POINT (644388.1863490704 5356829.820711046),1281.1971
POINT (644388.1863490704 5356929.820711046),1235.5375
POINT (644388.1863490704 5357029.820711046),1189.7944
POINT (644388.1863490704 5357129.820711046),1139.5557
POINT (644388.1863490704 5357229.820711046),1074.1776
POINT (644388.1863490704 5357329.820711046),1043.2991
POINT (644388.1863490704 5357429.820711046),1044.1897
POINT (644388.1863490704 5357529.820711046),1053.2675
POINT (644388.1863490704 5357629.820711046),1063.7017
POINT (644388.1863490704 5357929.820711046),-32767.0
POINT (644388.1863490704 5358029.820711046),1177.0073
POINT (644388.1863490704 5358129.820711046),1168.219
POINT (644488.1863490704 5356629.820711046),1435.3544
POINT (644488.1863490704 5356729.820711046),1374.6754
POINT (644488.1863490704 5356829.820711046),1324.7316
POINT (644488.1863490704 5356929.820711046),1281.6462
POINT (644488.1863490704 5357029.820711046),1231.1405
POINT (644488.1863490704 5357329.820711046),1084.2579
POINT (644588.1863490704 5356629.820711046),1493.4775
POINT (644588.1863490704 5356729.820711046),1432.9047
POINT (644588.1863490704 5356829.820711046),1377.6185
POINT (644588.1863490704 5356929.820711046),1329.5588
POINT (644588.1863490704 5357029.820711046),1278.9878
POINT (644688.1863490704 5356629.820711046),1590.7263
POINT (644688.1863490704 5356729.820711046),1515.6411
POINT (644688.1863490704 5356829.820711046),1445.2384
POINT (644688.1863490704 5356929.820711046),1397.6426
POINT (644688.1863490704 5357029.820711046),1312.683
POINT (644788.1863490704 5356729.820711046),1568.6644
POINT (644788.1863490704 5356829.820711046),1503.6155
POINT (644788.1863490704 5356929.820711046),1418.6194
POINT (644788.1863490704 5357029.820711046),1343.3414
POINT (644788.1863490704 5357129.820711046),1277.8604
POINT (644888.1863490704 5356729.820711046),1622.0265
POINT (644888.1863490704 5356829.820711046),1534.3962
POINT (644888.1863490704 5356929.820711046),1437.2659
POINT (644888.1863490704 5357029.820711046),1374.3518
POINT (644888.1863490704 5357129.820711046),1306.5509
POINT (644988.1863490704 5356829.820711046),1528.6428
POINT (644988.1863490704 5356929.820711046),1453.4968
POINT (644988.1863490704 5357029.820711046),1383.3809
POINT (644988.1863490704 5357129.820711046),1330.2935
POINT (645088.1863490704 5356829.820711046),1537.3995
POINT (645088.1863490704 5356929.820711046),1469.8512
POINT (645088.1863490704 5357029.820711046),1404.3307
